[,1
help,19
your,40
school,2
office,1
or,58
community,5
get,25
to,519
grips,1
with,99
the,909
latest,7
coronavirus,83
advice,4
by,83
downloading,1
these,8
a3,1
posters,1
and,379
sticking,1
them,23
around,26
public,17
health,28
experts,3
say,18
best,7
way,10
try,3
stay,8
is,155
well,21
start,1
washing,2
hands,1
if,32
you,177
do,45
feel,10
unwell,2
don't,1
go,29
gp,1
follow,3
steps,7
here's,1
a,358
reminder,1
of,385
three,5
key,6
n,7
'york,1
minster,6
has,75
been,74
closed,8
until,4
further,7
notice,1
amid,2
outbreak,18
's,149
old,6
palace,2
museum,3
library,1
archives,1
in,287
dean,3
park,6
have,105
also,50
shut,1
but,88
an,65
open,5
space,2
opposite,2
cathedral,1
would,40
remain,1
governing,2
body,1
chapter,2
york,5
said,70
events,5
concerts,2
programmes,4
be,114
affected,8
its,32
decision,5
regularly,2
reviewed,1
it,215
follows,2
announcement,2
archbishops,1
canterbury,1
statement,12
closure,3
applied,1
many,16
even,20
though,2
will,32
clergy,1
still,10
maintain,1
pattern,1
daily,4
prayer,2
praying,1
for,164
needs,3
nation,2
our,29
world,28
at,60
this,57
time,20
right,3
revd,1
dr,6
jonathan,1
frost,1
said:,5
we,50
find,8
ourselves,2
unprecedented,2
times,7
same,6
disciplines,1
mutual,2
care,8
that,228
life,7
giving,2
past,9
now,25
serve,1
us,27
future,5
i,232
'm,25
aware,5
communities,3
across,9
north,26
there,60
are,97
plans,11
developing,2
aid,2
taking,6
neighbours,1
particularly,1
most,14
vulnerable,7
needy,1
n',64
dã¨,1
na,2
duilgheadasan,1
agus,1
buannachdan,1
th',1
ann,2
bhith,1
ag,1
obair,1
bhon,1
taigh,1
'life,1
under,8
corona,35
virus,62
filling,1
forms,1
ni,1
no,41
more,30
headers,1
kids,4
live,13
debate,8
examining,1
moral,1
issues,2
behind,3
one,48
week's,1
news,22
stories,6
'pat,1
takes,2
through,13
morning,1
special,2
guests,2
great,4
music,6
'the,8
organization,6
says,21
must,4
alert,2
hottest,1
science,1
analysis,3
from,80
karl,1
ikiganiro,1
ku,1
ndwara,1
ya,1
covid,15
19,17
iterwa,1
n'agakoko,1
gashya,1
ko,1
mu,1
bwoko,1
bwa,1
chinese,21
worker,1
speaks,1
newshour,1
china's,2
'fever,1
clinics',1
'indonesia,2
tingkatkan,1
penelusuran,1
orang,5
yang,4
berkontak,1
dengan,2
pasien,2
'merseyside,1
police,7
reviewing,2
continuity,2
ensure,6
remains,1
efficient,2
effective,3
after,27
chief,8
constable,2
announced,4
he,76
was,151
self,10
isolating,3
due,4
andy,1
cooke,2
working,5
home,9
line,4
national,6
guidance,1
symptoms,4
force,6
putting,3
measures,7
place,13
everything,7
possible,6
protect,6
staff,9
mr,8
added,3
going,44
tough,8
ride,3
all,37
organisations,3
remained,2
contact,12
his,36
senior,4
team,2
partners,2
nationally,2
doing,5
can,41
keep,1
up,31
speed,1
challenges,1
spread,19
officers,5
supervisors,1
business,3
so,95
deliver,2
policing,1
service,4
local,7
big,12
small,4
spokesman,2
currently,4
encouraging,2
use,10
alternative,2
ways,4
contacting,1
non,4
emergency,4
demand,2
on,138
101,1
number,10
continues,2
high,2
current,7
climate,2
want,23
people,74
who,56
need,15
able,5
hold,3
crime,1
anti,6
social,14
behaviour,3
fraud,1
lost,4
found,5
property,1
road,5
traffic,3
incident,4
missing,1
person,7
civil,1
disputes,1
stolen,1
vehicles,1
could,27
reported,6
via,1
website,2
media,11
'what,1
make,16
government,33
response,4
'5,1
contract,1
alps,1
briton,1
had,62
travelled,2
singapore,1
mencatat,2
kematian,1
pertama,2
merupakan,1
warga,1
negara,2
asing,1
floorfillers,4
party,8
anthems,4
dance,4
legends,4
presented,5
richard,4
latto,4
'pemerintah,2
indonesia,5
13,2
baru,3
positif,1
terjangkit,1
'impact,1
itlay,1
'coronavirus,1
what,46
'motoring,1
journalist,5
mark,1
james,1
talks,1
about,63
how,27
impacts,1
car,5
industry,9
'versi,4
podcast,7
siaran,4
berita,4
pagi,4
bbc,12
'do,1
know,19
when,40
isolate,2
'how,1
affecting,3
changed,1
'who,3
memperingatkan,1
upaya,1
memerangi,1
mencapai,1
titik,1
menentukan,1
'is,1
starting,1
change,10
'stars,1
including,8
coldplay,3
yungblud,2
christine,2
queens,2
streaming,1
gigs,3
combat,3
boredom,1
isolation,7
chris,2
martin,2
played,3
impromptu,1
set,8
instagram,11
fans,9
',12
questions,4
covering,1
david,4
bowie,1
mars,1
country,15
singer,4
keith,1
urban,1
went,26
wife,2
nicole,1
kidman,1
background,1
referred,3
film,2
star,6
as,86
audience,3
end,19
youtube,12
post,18
shared,10
@keithurban,1
keithurban,1
punk,2
pop,4
put,6
ambitious,2
hour,4
long,8
show,9
la,1
mosh,1
empty,3
room,5
bed,2
kitchen,1
table,1
couch,1
jump,2
exclaimed,1
musician,2
staring,3
down,11
barrel,1
camera,2
recent,3
single,3
anarchist,1
concert,2
pulled,1
together,8
just,29
72,1
hours,3
upcoming,1
tour,7
postponed,3
concerns,3
stream,3
included,3
cooking,1
segment,1
comedy,1
drinking,1
game,3
featuring,1
actress,1
bella,1
thorne,1
rapper,1
machine,2
gun,2
kelly,2
beer,3
they,118
chose,1
course,6
wanted,4
give,6
bit,9
positivity,1
laughter,1
emotion,1
midst,1
epidemic,2
helped,2
him,13
positive,8
having,13
opportunity,3
connect,1
taken,10
away,10
me,43
wasn,5
't,81
gonna,1
option,2
not,77
think,25
out,38
box,1
bad,5
situations,1
despair,1
comes,6
incredible,2
art,2
matter,1
form,4
may,12
similar,3
approach,4
staging,1
nightly,1
shows,9
ferber,1
recording,5
studio,2
paris,1
why,9
meet,2
everyday,1
6pm,1
est,1
my,24
wrote,2
message,8
'll,11
deal,10
ennui,1
weird,1
concepts,1
first,17
video,19
series,2
saw,3
perform,2
acoustic,1
version,2
her,6
've,14
sad,1
followed,3
operator,1
squeaky,1
bicycle,1
@christineandthequeens,1
christineandthequeens,1
idea,6
picked,2
theatres,3
too,6
cast,1
west,2
improv,1
showstoppers,1
broadcasting,1
tuesday,7
performance,1
facebook,14
lyric,2
theatre,1
audiences,1
other,23
artists,9
planning,6
include,4
celtic,1
band,6
dropkick,1
murphys,1
their,44
st,2
patricks,1
day,13
gig,1
twitter,8
twitch,1
l,2
devine,1
honour,1
every,8
date,2
european,10
house;,1
while,16
john,1
legend,1
example,2
organised,1
organisation,3
banner,2
provide,9
much,10
needed,2
creative,1
outlet,2
sense,4
alike;,1
loss,1
income,2
touring,2
circuit,1
effectively,3
shuts,1
venues,2
royal,4
albert,1
hall,5
which,31
step,3
financially,2
devastating,1
doors,3
made,6
goes,3
against,15
nature,1
close,3
aren,4
normal,5
unique,3
situation,9
where,13
closing,1
look,13
last,8
week,8
before,22
recommended,3
should,8
avoid,10
pubs,2
clubs,2
such,12
venue,1
trust,1
27%,1
downturn,1
attendance,1
uk,12
association,2
independent,2
festivals,4
ticket,1
sales,1
members,6
were,57
44%,1
compared,1
point,7
year,20
mention,1
crew,2
making,3
living,2
financial,6
impact,6
severe,1
some,25
estimates,2
suggest,4
lose,5
$5bn,1
during,2
indie,1
frank,2
turner,1
raise,1
cash,4
family,3
straits,1
welsh,3
folk,1
calan,1
took,6
different,8
clothes,1
recoup,1
â£5,1
000,9
cancelled,5
elsewhere,2
campaigns,1
mounted,1
support,8
smaller,1
scale,1
buying,3
merchandise,2
funding,2
directly,2
sites,3
like,32
patreon,1
venmo,1
guide,2
started,6
promote,1
might,3
struggling,1
house,2
lords,1
baroness,2
barran,2
department,1
digital,1
culture,1
sport,1
arts,1
entertainment,2
safety,5
reasons,1
unable,1
claim,5
insurance,6
because,49
ordered,2
liberal,1
democrat,1
lord,3
clement,1
jones,2
asked:,1
consideration,1
given,6
ability,1
hospitality,1
companies,5
interruption,2
policies,1
customers,1
advised,2
order,2
answered:,1
understands,1
industries,1
indeed,1
very,9
profound,1
british,4
insurers,2
vast,1
majority,2
businesses,4
covered,1
type,2
secretary,4
state,6
afternoon,1
calls,1
sure,4
lines,1
communication,1
meanwhile,6
potentially,3
being,29
exposed,2
charli,1
xcx,1
she,12
herself,1
lockdown,1
finishing,1
touches,1
new,24
album,1
workaholic,1
quarantine,4
quite,19
stressful,1
yes,5
creating,2
mood,2
boards,1
ideas,2
videos,6
thinking,10
changes,4
songs,1
re,3
vocals,1
better,6
generally,2
feeling,3
purposeless,1
dj,1
producer,2
diplo,2
imposed,1
coming,5
into,11
hundreds,1
four,6
weeks,9
posted,8
heartbreaking,1
himself,4
separated,1
two,29
young,3
sons,1
glass,1
door,2
caption:,1
build,1
legos,1
watch,3
movies,1
window,1
listen,1
play,5
drums,1
sing,1
hurts,1
miss,1
sacrifice,1
everyone,14
safe,3
@diplo,1
'volunteers,1
wales,3
those,16
arrange,1
assistance,1
councils,2
residents,3
includes,3
shopping,3
dog,1
walking,5
400,1
churches,1
belonging,1
union,3
independents,2
urged,1
draw,1
parishioners,1
died,4
monday,2
essential,1
travel,5
told,14
work,8
next,7
weekend,2
serious,4
conditions,5
largely,2
shielded,1
12,1
ivor,1
pike,1
port,1
talbot,1
underlying,1
mobility,1
problems,4
managed,2
dried,1
milk,3
powder,1
uht,1
myself,3
80,2
am,5
food,1
nobody,1
councillor,2
concerned,2
tony,2
panes,1
77,1
rudry,2
caerphilly,1
county,1
chest,1
already,7
keeping,4
others,6
minimum,1
something,18
happening,2
afraid,2
draethen,1
waterloo,1
jayne,1
garland,1
loneliness,1
issue,2
older,3
added:,2
lady,1
phone,3
chat,1
mainly,3
scared,1
saying,6
here,11
talk,4
groups,9
sprouted,1
blaenau,2
gwent,2
page,6
elderly,3
means,7
obtaining,1
essentials,1
area,3
called,8
pull,1
really,16
bala,1
gwynedd,1
store,1
shop,2
kel,1
coordinating,1
volunteers,2
anyone,5
items,2
collected,1
everybody,2
pulling,1
trying,5
offer,4
less,7
fortunate,1
nicholson,1
runs,2
rev,1
dyfrig,1
rees,1
general,7
're,30
upon,2
compassion,1
neighbour,2
'd,13
never,6
anticipated,1
month,5
ago,8
sick,1
lonely,1
distressed,2
grieving,1
terrible,1
infection,4
joining,1
forces,1
penny,1
monmouthshire,1
council,2
cabinet,1
member,4
services,2
fantastic,1
bridgend,1
leader,6
huw,1
lot,5
forward,2
'has,1
any,20
'several,1
countries,4
cases,15
'wakil,1
menteri,1
kesehatan,3
iran,2
terinfeksi,1
di,2
tengah,1
tekanan,1
penangangan,1
wabah,1
'untuk,1
kalinya,1
jumlah,1
kasus,1
lebih,1
banyak,1
terjadi,1
luar,1
china,34
'south,1
korea,24
declares,1
highest,2
infections,4
surge,2
'china,2
menyatakan,1
adalah,1
darurat,2
terburuk,1
dalam,2
sejarah,1
itu,1
'a,3
group,12
girls,2
london,11
quarantined,7
abandoned,1
vietnamese,1
hospital,13
sane,1
documenting,1
sisters,1
lucy,2
alice,1
parker,1
22,2
25,2
friend,3
