Date,Headline,HyperLinks,Tag,Text
17-Mar-20,Coronavirus: Merseyside Police chief constable self-isolates,https://www.bbc.co.uk/news/uk-england-merseyside-51926170,Liverpool,
13-Mar-20,Backpackers document Vietnam hospital isolation,https://www.bbc.co.uk/news/uk-england-london-51878109,London,
16-Mar-20,Coronavirus: Volunteers organise to help vulnerable,https://www.bbc.co.uk/news/uk-wales-51907364,Wales,
17-Mar-20,Pop stars live-stream concerts from home to combat isolation,https://www.bbc.co.uk/news/entertainment-arts-51924765,Entertainment & Arts,
12-Mar-20,Iranian becomes celebrity in Georgia over Covid-19,https://www.bbc.co.uk/news/blogs-news-from-elsewhere-51855041,News from Elsewhere,
16-Mar-20,Biden wants woman VP and other debate takeaways,https://www.bbc.co.uk/news/world-us-canada-51903199,US & Canada,
12-Mar-20,Eurozone bank tries to ease coronavirus crisis,https://www.bbc.co.uk/news/business-51857792,Business,
6-Mar-20,Coronavirus: Hate crime reports rise in Exeter,https://www.bbc.co.uk/news/uk-england-devon-51773774,Devon,
9-Mar-20,Letter from Africa: The spread of coronavirus prejudice in Kenya,https://www.bbc.co.uk/news/world-africa-51770856,Africa,
13-Mar-20,Coronavirus: How Covid-19 could affect your festival plans this summer,https://www.bbc.co.uk/news/newsbeat-51814216,Newsbeat,
13-Mar-20,Coronavirus: What misinformation has spread in Africa?,https://www.bbc.co.uk/news/world-africa-51710617,Africa,
26-Feb-20,Coronavirus: Fake news is spreading fast,https://www.bbc.co.uk/news/technology-51646309,Technology,
16-Aug-18,Corona beer owner to pour $4bn into weed,https://www.bbc.co.uk/news/business-45204186,Business,
13-Mar-20,Transcript: Disabled and out of money in North Korea,https://www.bbc.co.uk/news/disability-51873122,Disability,
11-Feb-20,Coronavirus disease named Covid-19,https://www.bbc.co.uk/news/world-asia-china-51466362,China,
7-Feb-20,Coronavirus: Russian media hint at US conspiracy,https://www.bbc.co.uk/news/world-europe-51413870,Europe,
13-Feb-20,Further increase in Scottish coronavirus testing,https://www.bbc.co.uk/news/uk-scotland-51490381,Scotland,
21-Jan-20,Newspaper headlines: Harry 'flies to Canada' and Lord Hall steps down,https://www.bbc.co.uk/news/blogs-the-papers-51184631,The Papers,
11-Feb-13,Corona Theatre School forced to close,http://www.bbc.co.uk/news/uk-england-london-21410156,London,
29-Dec-19,Why Canada's cannabis bubble burst,https://www.bbc.co.uk/news/world-us-canada-50664578,US & Canada,
31-Jan-13,Budweiser-Corona beer merger opposed by US,http://www.bbc.co.uk/news/business-21275261,Business,
21-Jan-13,Italy paparazzo Fabrizio Corona facing European warrant,http://www.bbc.co.uk/news/world-europe-21127532,Europe,
22-May-12,Philippines judge Renato Corona 'quits trial',http://www.bbc.co.uk/news/world-asia-18162339,Asia,
